Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,462.125000,,0.000000,TSQL,88.5,69.3,023,NN,FM,5.00,S,,,,,
2,,462.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,,462.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,,462.425000,,0.000000,TSQL,88.5,103.5,023,NN,FM,5.00,S,,,,,
5,,462.525000,,0.000000,TSQL,88.5,114.8,023,NN,FM,5.00,S,,,,,
6,,462.625000,,0.000000,TSQL,88.5,127.3,023,NN,FM,5.00,S,,,,,
7,,462.725000,,0.000000,TSQL,88.5,136.5,023,NN,FM,5.00,S,,,,,
8,,462.825000,,0.000000,TSQL,88.5,162.2,023,NN,FM,5.00,S,,,,,
9,,462.925000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,,463.025000,,0.000000,DTCS,88.5,88.5,051,NN,FM,5.00,S,,,,,
11,,463.125000,,0.000000,DTCS,88.5,88.5,125,NN,FM,5.00,S,,,,,
12,,463.225000,,0.000000,DTCS,88.5,88.5,155,RR,FM,5.00,S,,,,,
13,,463.525000,,0.000000,DTCS,88.5,88.5,465,RR,FM,5.00,S,,,,,
14,,450.225000,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,,460.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,,469.950000,,0.000000,TSQL,88.5,203.5,023,NN,FM,5.00,S,,,,,
